번호,단어,의미
778,backward,뒤쪽으로 후방에 거꾸로
779,translate,"번역하다, 옮기다"
780,refresh,"상쾌하게 하다, 새롭게 하다"
781,tissue,(생물) 조직
782,lord,군주
783,substitute,"대체하다 대리자, 대체물"
784,scan,"정밀 검사하다, 유심히 쳐다보다"
785,pottery,"도자기, 도예"
786,layer,"층, 겹"
787,property,"재산, 소유물 , 부동산"
788,justify,정당화하다
789,polish,"닦다, 윤을 내다, (문장 등을)다듬다"
790,flavor,맛동사 맛을 내다
791,imprint,"찍다 감명시키다명사 찍은 자국, 인상"
792,heritage,"유산, 세습 재산"
793,strive,"노력하다, 애쓰다 , 투쟁하다"
794,radiant,"빛나는, 아주 밝은"
795,exclaim,(감탄하며)외치다
796,asset,"자산, 재산"
797,portray,"묘사하다, 설명하다, 초상을 그리다"
798,administer,"관리?운영하다, 집행하다, 주다"
799,wage,급료
800,subscribe,정기 구독하다
801,architecture,"건축학, 건축 양식"
802,territory,"영토, 영역"
803,strategy,"전략, 계획"
804,hence,"그러므로, 향후"
805,panic,당황한 공황
806,wilderness,황무지
807,attract,"끌다, 매혹하다"
808,category,"부류, 종류"
809,murder,죽이다 살인
810,funeral,장례식 장례의
811,humiliation,"창피 줌, 굴욕"
812,ban,금지하다 금지
813,flush,"물로 씻어내리다, (얼굴이) 붉어지다 물로 씻어냄, 홍조"
814,omit,~을 생략하다
815,outcome,결과
816,despair,절망 절망하다
817,alert,조심하는 경고하다 경계
818,compact,"아담한, 빽빽한 계약, 협정"
819,likewise,마찬가지로
820,astonish,깜짝 놀라게 하다
821,optimistic,낙천적인
822,loyal,충성스러운
823,humid,습한
824,pretend,~인 척하다
825,graduate,졸업하다 졸업생
826,delicate,"연약한, 섬세한, 미묘한"
827,inflate,"부풀리다, 과장하다, (가격을) 올리다"
828,adequate,적절한
829,physician,의사
830,joint,관절 공동의
831,via,"[전] ~을 경유해서, ~을 매개로 하여"
832,passage,"통로, (책의) 구절"
833,prefer,~을 좋아하다
834,vessel,"선박, 용기"
835,restore,이전상태로 회복시키다
836,passive,"소극적인,수동적인"
837,experience,경험 경험하다
838,marble,대리석
839,classify,분류하다
840,fundamental,"근본적인, 필수의"
841,majesty,"위엄, 장엄, 왕(M-)"
842,intimate,"친밀한, 친숙한"
843,merit,"장점, 가치"
844,launch,"시작하다, 출시하다 발사, 출시"
845,conference,회의
846,reception,"접수처, 환영연회"
847,shrug,어깨를 으쓱하다 어깨를 으쓱하기
848,vicious,"악랄한, 타락한"
849,cherish,소중히 하다
850,accuse,"고발하다, 비난하다"
851,eternal,영원한
852,shrink,"줄어들다, 피하다"
853,colleague,동료
854,transmit,"보내다, 전염시키다, 전도하다"
855,copper,"구리 구리의, 구릿빛의"
856,orbit,궤도 궤도를 그리며 돌다
857,overwhelm,"압도하다, 당황하게 하다"
858,discard,"폐기하다, 버리다, 처분하다"
859,famine,"기근, 굶주림, 기아"
860,pill,알약
861,enhance,강화하다
862,immune,"면역의, 면역성이 있는"
863,superior,"뛰어난, 눈에 띄는"
864,string,끈 끈을 달다
865,cope,대처하다
866,raw,"날것의, 가공하지 않은"
867,apply,"지원하다, 적용되다"
868,cattle,소
869,loan,"빌려주다 대여, 융자금"
870,obedient,"유순한, 순종하는"
871,procedure,"절차, 수술"
872,bond,"유대, 속박 유대를 맺다"
873,angle,"각도, 각 비스듬히 움직이다"
874,subtle,"미묘한, 교묘한, 예민한"
875,depict,"묘사하다, 그리다"
876,radical,"근본적인, 급진적인"
877,therapy,치료법
878,caution,"조심, 경고 경고하다"
879,persist,"고집하다, 지속하다"
880,reverse,"뒤집다, 후진하다 반대의 반대, 후진"
881,support,"떠받치, 지지 지지하다, 후원하다"
882,mammal,포유동물
883,iceberg,빙산
884,monetary,화폐의
885,revise,"개정하다, 수정하다"
886,resent,"분개하다, 화를 내다"
887,superb,매우 뛰어난
888,abrupt,"갑작스런, 퉁명스러운"
889,diverse,다양한
890,internal,"내부의, 체내의"
891,gloom,"우울, 어둠"
892,refine,"개선하다, 정제하다"
893,dynamic,"역동적인, 활발한"
894,nerve,신경
895,prompt,"신속한, 즉각적인 촉발하다, 자극하다"
896,suspend,"일시 중지하다, 보류하다, 정직(정학)시키다"
897,control,"통제하다, 지배하다 통제, 지배"
898,distraction,집중을 방해하는 것
899,collapse,"무너지다, (가격이) 폭락하다"
900,monologue,독백
901,martial,"군대의, 전쟁의"
902,deliberate,"고의의, 신중한"
903,trigger,"작동시키다, 촉발시키다 방아쇠, 계기"
904,plot,"줄거리, 음모 음모를 꾸미다"
905,rod,"막대, 낚싯대"
906,Atlantic,대서양 대서양의
907,industry,산업
908,weird,"이상한, 괴상한"
909,suggest,"제안하다, 암시하다"
910,partial,"부분적인, 편파적인"
911,priceless,대단히 소중한
912,mutual,"상호 간의, 공동의"
913,fate,운명
914,booth,작은 공간
915,pursue,추구하다
916,prescribe,"처방하다, 규정하다"
917,erupt,(화산이) 폭발하다
918,insult,"모욕하다 모욕, 모욕적인 말"
919,gaze,응시하다 응시
920,supreme,최고 최고의
921,transaction,"거래, 매매"
922,sufficient,충분한
923,stable,안정된 마구간
924,sympathy,"연민, 동의"
925,by-product,부산물
926,edible,먹을 수 있는
927,federal,"연방의, 연방 정부의"
928,bud,"싹, 봉오리, 친구"
929,trivial,사소한
930,anxiety,"걱정, 불안, 열망"
931,tablet,알약
932,prepare,준비하다
933,trade,"무역하다, 교환하다"
934,liquid,"액체 액체의, 유동적의"
935,contend,"싸우다, 주장하다"
936,outlook,"전망, 경치, 견해"
937,roam,"배회하다, 돌아다니다"
938,decent,"괜찮은, 예의 바른, 적절한"
939,concern,"걱정, 관심 걱정하다, 관심을 갖다"
940,behalf,"측, 편, 이익"
941,suffer,"고통 받다, 겪다"
942,distortion,"왜곡, 찌그러뜨림"
943,infinite,무한한
944,anticipate,"예상하다, 기대하다"
945,symbolic,상징적인
946,municipal,지방 자치제의
947,phenomenon,현상
948,devote,"(시간, 노력)쏟다"
949,peasant,소작농
950,tenant,세입자
951,worthwhile,가치있는
952,pavement,포장도로
953,dioxide,(화학)이산화물
954,diminish,"줄이다, 약화시키다"
955,jealous,"질투하는, 시기하는"
956,limp,"기운이 없는, 축 처진"
957,exclude,"제외하다, 차단하다"
958,flexible,"융통성 있는, 잘 구부러지는"
959,nominate,지명하다
960,sacred,"성스러운, 종교적인"
961,context,맥락
962,complete,완벽한 완료하다
963,race,"경주, 인종 경주하다"
964,dominate,지배하다
965,vehicle,탈것
966,complain,불평하다
967,brochure,브로셔
968,force,힘 강요하다
969,nest,둥지
970,gain,얻다
971,curriculum,교육 과정
972,sew,바느질하다
973,masculine,남자의
974,frown,눈살을 찌푸리다 찡그린 얼굴
975,astound,놀라게 하다
976,dictator,독재자
977,assessment,평가
978,crucial,"중대한, 결정적인"
979,paralysis,마비
980,deck,(배의) 갑판
981,cheer,환호 환호하다
982,miserable,비참한
983,tease,괴롭히다
984,aggressive,공격적인
985,cure,치료하다 치료
986,attribute,~의 결과로 여기다 속성
987,foster,육성하다
988,phychologist,심리학자
989,postpone,연기하다
990,rob,"강탈하다, 훔치다"
991,abuse,"남용하다, 학대하다 남용, 학대"
992,unemployed,실업의
993,breakdown,"고장, 쇠약"
994,disguise,"숨기다, 변장"
995,blueprint,청사진
996,rear,뒤의 뒤 기르다
997,output,생산량
998,sermon,설교
999,sprout,싹이 트다. 싹
1000,tin,"주석, 양철"
1001,reform,"개혁하다 개혁,"
1002,deal,다루다 거래
1003,recruit,모집하다 신병
1004,maintain,유지하다
1005,workshop,"작업장, 워크숍"
1006,patient,환자
1007,convention,"총회, 관습"
1008,devastate,황폐시키다
1009,reap,수확하다
1010,overlook,"간과하다, 내려다보다"
1011,deliver,"배달하다, (연설을)하다"
1012,reject,"거부하다, 거절하다"
1013,nourish,"영양분을 주다, 기르다"
1014,bay,만
1015,stun,놀라게 하다
1016,particular,특정한
1017,bulletin,게시(물)
1018,fluid,유동성의 유동체
1019,affair,"일, 사건"
1020,dawn,"새벽, 시작 날이 새다"
1021,hostile,적대적인
1022,characteristic,특징
1023,respect,"존경하다, (법 등을) 준수하다 존경, 측면"
1024,await,기다리다
1025,concrete,구체적인
1026,lease,임대하다 임대차 계약
1027,racial,인종의
1028,variable,"변수. 변하기 쉬운, 변덕스러운"
1029,satisfy,만족시키다
1030,rule,"규칙, 지배 지배하다"
1031,perseverance,인내심
1032,fatal,치명적인
1033,remove,"제거하다, 치우다"
1034,invert,거꾸로 하다
1035,tension,긴장
1036,reign,"통치, 지배"
1037,crack,금이 가다 (갈라진 틈
1038,startle,깜짝 놀라게 하다
1039,discourage,"낙담시키다, 말리다"
1040,compensate,보상하다
1041,convert,"전환시키다, 바꾸다"
1042,strike,치다
1043,suppress,"억압하다, 참다"
1044,core,핵심(의)
1045,contribute,공헌하다
1046,spear,창
1047,renowned,명성 있는
1048,era,시대
1049,withdraw,인출하다
1050,immigrate,이주하다
1051,dignity,존엄
1052,notify,"통보하다, 알리다"
1053,animate,살아 있는
1054,prevent,"예방하다, 막다"
1055,bilingual,2개 국어의
1056,mischief,"장난, 해악"
1057,discriminate,"차별하다, 구별하다"
1058,exemplify,예시하다
1059,adhere,고수하다
1060,judge,판단하다
1061,peculiar,독특한
1062,sake,"위함, 목적"
1063,choke,질식시키다
1064,folktale,"민간 설화, 전설"
1065,simultaneously,동시에
1066,range,범위
1067,groom,신랑
1068,supernatural,초자연적인
1069,tender,부드러운
1070,instinct,본능
1071,gigantic,거대한
1072,meditate,명상하다
1073,mow,(풀을) 베다
1074,evolve,"진화하다, 발전하다"
1075,chase,"추격하다, 쫓다"
1076,afflict,괴롭히다
1077,literate,읽고 쓸 수 있는
1078,coherent,"통일성 있는, 조리 있는"
1079,intolerable,참을 수 없는
1080,fountain,분수
1081,bold,"대담한, 선이 굵은"
1082,compliment,칭찬하다 칭찬
1083,summit,정상
1084,troop,"무리, 군대"
1085,alter,"바꾸다, 변경하다"
1086,conceive,생각해 내다
1087,durability,내구성
1088,destroy,파괴하다
1089,shallow,"얕은, 피상적인"
1090,face,"얼굴, 표면 직면하다"
1091,promote,승진시키다
1092,weep,울다
1093,grasp,붙잡다
1094,overall,"전반적인, 전체의"
1095,superstition,미신
1096,colony,식민지
1097,absurd,"불합리한, 우스꽝스러운"
1098,dormitory,기숙사
1099,conduct,수행하다 행위
1100,prone,~하는 경향이 있는
1101,conceal,숨기다
1102,retreat,후퇴하다 후퇴
1103,compulsive,"강제적인, 강박의"
1104,clinic,"전문 병원, 개인 병원"
1105,banner,현수막
1106,formulate,"만들어내다, 공식화하다"
1107,vow,맹세(하다)
1108,malnutrition,영양실조
1109,relate,관련시키다
1110,undergo,겪다
1111,boast,자랑하다
1112,neutral,중립의
1113,stain,얼룩
1114,incentive,"장려책, 자극"
1115,float,"뜨다, 떠다니다"
1116,tendency,경향
1117,applause,박수갈채
1118,wrestle,"싸우다, 씨름하다"
1119,sensation,"감각, 느낌"
1120,Confucian,"공자의, 유교의"
1121,diameter,지름
1122,ultrasound,초음파
1123,propriety,"적절성, 예의바름"
1124,anecdote,일화
1125,shrub,관목
1126,pledge,"서약, 담보 서약하다"
1127,cost,"가격, 비용 (가격, 비용이) 들다"
1128,geology,지질학
1129,detect,"찾아내다, 감지하다"
1130,temperate,"절제하는, (기후가) 온화한"
1131,soar,"급등하다, 날아오르다"
1132,mock,"놀리다, 조롱하다 가짜의, 모조의"
1133,disclose,"폭로하다, 드러내다"
1134,exhibit,전시하다 전시품
1135,symptom,"증상, 증후"
1136,manage,"경영하다, 관리하다, 간신히 해내다"
1137,awkward,"어색한, 서투른, 다루기 힘든"
1138,grind,갈다
1139,expose,"노출시키다, 폭로하다"
1140,closet,벽장
1141,damp,축축한
1142,script,대본
1143,possibility,"가능성, 기회"
1144,fad,(일시적인) 유행
1145,sibling,"형제, 자매"
1146,linger,"남아 있다, 어슬렁거리다"
1147,flourish,"번성하다, 건강하다"
1148,discharge,"해고하다, 방출하다, 방면하다 해고, 방출, 면제"
1149,thorough,철저한
1150,undertake,"착수하다, 약속하다"
1151,cord,"끈, 전기코드, (직물)코르덴 천 코르덴 천으로 만들어진"
1152,linguistic,"언어의, 언어학의"
1153,remedy,치료
1154,sole,"유일한, 단독의"
1155,sophomore,"(고교, 대학의) 2학년생"
1156,panel,판
1157,suitor,"소송인, 구혼자"
1158,pillar,기둥
1159,explode,폭발하다
1160,illusion,"착각, 환각"
1161,draft,"초고, 초안 초안을 그리다"
1162,crude,"조잡한, 있는 그대로의"
1163,supplement,"보완하다 보완, 보충"
1164,velocity,속도
1165,tame,길들이다 길들여진
1166,molecule,분자
1167,reed,갈대 갈대의
1168,dismay,실망 크게 실망시키다
1169,diagnose,진단하다
1170,versus,[전] ~와 대비하여
1171,reservoir,저수지
1172,conform,"따르다, 순응하다"
1173,spacious,"넓은, 훤히 트인"
1174,weave,(천을) 짜다 짜기
1175,ceremony,"의식, 식"
1176,motive,"동기, 이유"
1177,prominent,두드러진
1178,archaeology,고고학
1179,rigid,"엄격한, 굳은"
1180,inferior,"열등한, 질 낮은"
1181,subtract,빼다
1182,impulse,"충동, 욕구, 추진력"
1183,utmost,최대한의 최대한도
1184,proficient,숙달된
1185,accumulate,"모으다, 축적하다"
1186,navigate,"길을 찾다, 항해하다"
1187,equity,"자기자본, 공평"
1188,violate,"위반하다, 침해하다"
1189,ambitious,야망을 가진
1190,intact,"온전한, 손상되지 않은"
1191,plea,"애원, 탄원"
1192,attend,"참석하다, 유의하다, 돌보다"
1193,trim,다듬다 잘 정돈된 정돈
1194,embody,"구체화하다, 포함하다"
1195,characteristic,"특징, 특성 특유의"
1196,consist,~로 구성되다
1197,boundary,"경계, 한계"
1198,attack,공격하다 공격
1199,confine,"제한하다, 가두다"
1200,dispatch,"급파, 발송 파견하다, 발송하다"
1201,regret,후회하다 후회
1202,coffin,관
1203,divine,신성한
1204,revenue,수익
1205,corrupt,"부패한, 타락한 부패하다, 타락하다"
1206,probe,"조사하다, 연구하다 조사"
1207,factual,실제의
1208,swamp,"늪, 습지"
1209,expedition,탐험
1210,abnormal,"이상한, 비정상의"
1211,storage,"저장소, 저장"
1212,revive,되살아나다
1213,stool,(등받이 없는) 의자
1214,hinder,방해하다
1215,flattery,아첨
1216,virtue,미덕
1217,deadline,"기한, 마감시간"
1218,equator,n.적도
1219,cognitive,인식의
1220,motion,"운동, 동작 동작을 해 보이다"
1221,humble,"겸손한, 비천한"
1222,bounce,"튀어 오르다, 깡충깡충 뛰다, (공이) 튀다"
1223,imprison,투옥하다
1224,enlist,모집하다
1225,hygiene,"위생, 위생학"
1226,upcoming,다가오는
1227,trace,"자취, 흔적 추적하다, 밝혀내다"
1228,pulse,맥박
1229,controversy,"논쟁, 언쟁, 논란"
1230,locate,"(장소를) 찾아내다, -에 위치하다"
1231,patent,특허 특허를 받은 특허권을 얻다
1232,lyric,n.가사
1233,convenience,"편의, 편리, 편의시설"
1234,rush,"돌진하다, 급하게 가다 돌진, 혼잡"
1235,carbon,탄소
1236,contaminate,"오염시키다, 더럽히다"
1237,external,외부의
1238,herd,"떼, 무리 떼를 짓다"
1239,allocate,"할당하다, 배분하다"
1240,gorgeous,"아주 멋진, 화려한"
1241,confess,고백하다
1242,subjective,주관적인
1243,hell,지옥
1244,acknowledge,인정하다
1245,accord,"일치하다, 조화하다 일치, 합의"
1246,immense,엄청난
1247,extract,"추출하다, 추출물"
1248,sewage,"하수, 오물"
1249,reconciliation,화해
1250,amid,[전] ~의 한가운데
1251,warrant,"보증서, 영장, 정당한 이유"
1252,complement,보완하다
1253,ceramic,"도자기, 요업"
1254,license,"면허, 인가 면허를 주다, 허가하다"
1255,emerge,나타나다
1256,halt,"정지시키다 정지, 멈춤"
1257,ivory,"상아, 상아색"
1258,ponder,"곰곰이 생각하다, 심사숙고하다"
1259,lottery,"복권, 추첨"
1260,stroke,"타격, 뇌졸증"
1261,burglar,강도
1262,blame,"비난하다, ~을 탓하다 비난"
1263,transplant,이식하다
1264,cluster,무리
1265,borrow,빌리다
1266,derive,"끌어내다, ~에서 비롯되다"
1267,plague,전염병 괴롭히다
1268,certificate,증명서
1269,deluxe,호화로운
1270,convey,"나르다,전달하다, (생각, 감정을) 전하다"
1271,depth,깊이
1272,evaporate,증발하다
1273,lame,"절름발이의, 설득력이 없는"
1274,conduct,"실시하다, 수행하다, 행동하다 행위"
1275,sour,(맛이)신
1276,repetitive,반복성의
1277,oppress,n.억압하다
1278,leftover,"남은 음식, 잔재"
1279,embrace,"포옹하다, 껴안다, 수용하다"
1280,blade,칼날
1281,abundant,풍부한
1282,duplicate,똑같은 복사하다 사본
1283,remind,"상기시키다, 생각나게 하다"
1284,altitude,고도
1285,glimpse,흘끗 보다 흘끗 봄
1286,blend,섞다
1287,swell,"부풀다, 팽창"
1288,grief,"비탄, 큰 슬픔"
1289,beverage,음료수
1290,warrior,"전사, 용사"
1291,earn,"(평판을) 얻다, 벌다"
1292,slice,(얇게 썬)조각 얇게 썰다
1293,exotic,이국적인
1294,arrogant,"거만한, 건방진"
1295,vanish,사라지다
1296,rational,"이성적인, 합리적인"
1297,predominant,"우세한, 두드러진"
1298,cozy,"안락한, 아늑한"
1299,broker,"중개인, 브로커 중개하다"
1300,auction,경매 경매로 팔다
1301,obsess,"v.사로잡다, 강박 관념을 갖다"
1302,feed,"~에 밥을 주다, ~에 먹이를 주다"
1303,outbreak,"(전쟁, 사고등의) 발발"
1304,invent,발명하다
1305,pioneer,개척자 개척하다
1306,assert,주장하다
1307,undo,"(잠긴 것을) 풀다, 원상태로 돌리다"
1308,bouquet,꽃다발
1309,elaborate,정교한
1310,toss,던지다 던지기
1311,retain,보유하다
1312,radioactive,방사능의
1313,buildup,축적
1314,machinery,기계
1315,passerby,통행인
1316,auditorium,강당
1317,lay,"놓다, (알을) 낳다"
1318,neglect,무시하다 소홀
1319,feedback,피드백
1320,promote,"증진하다, 승진시키다"
1321,impair,손상시키다
1322,metaphor,은유
1323,dispense,"분배하다, 나누어 주다"
1324,bruise,"멍, 타박상"
1325,attorney,"변호사, 대리인"
1326,framework,"뼈대, 틀, 체제"
1327,heredity,n.유전
1328,naive,순진한
1329,shed,"v.떨구다, 흘리다"
1330,metropolitan,대도시의
1331,shield,방패 보호하다
1332,induce,"유도하다, 설득하여 ~시키다"
1333,bazaar,"시장, 바자"
1334,expel,추방하다
1335,plow,쟁기 갈다
1336,prolong,연장하다
1337,fluent,유창한
1338,margin,가장자리
1339,ecology,"생태학, 생태"
1340,interior,내부 내부의
1341,ornament,장식 장식하다
1342,separate,분리하다
1343,ripe,익은
1344,vibrate,"진동하다, 흔들다"
1345,urgent,긴급한
1346,speculate,"사색하다 ,투기하다"
1347,epidemic,전염병
1348,precede,~에 앞서다
1349,breathtaking,숨막히는
1350,portfolio,포트폴리오
1351,beware,주의하다
1352,handcuff,[n] 수갑
1353,overturn,전복시키다 전복
1354,pregnant,임신한
1355,intelligence,지능
1356,adapt,적응시키다
1357,settle,정착하다
1358,assassinate,암살하다
1359,vapor,증기
1360,tuition,수업료
1361,literature,문학
1362,loop,고리 고리로 만들다
1363,quote,인용하다 인용구
1364,inhale,"들이쉬다, 흡입하다"
1365,prospect,"전망, 가능성"
1366,anchor,"닻,앵커"
1367,reference,"참고, 언급"
1368,compound,혼합하다 혼합물 합성의
1369,withstand,"견디다, 버티다"
1370,implement,실행하다 도구
1371,anonymous,익명의
1372,collide,"충돌하다, 일치하지 않다"
1373,memorial,기념물
1374,vacant,"비어 있는, 빈자리의"
1375,technical,기술의
1376,summon,소환하다
1377,orchard,과수원
1378,proportion,"비율, 부분"
1379,antibiotic,항생 물질
1380,overtake,따라잡다
1381,resemble,~와 닮다
1382,wander,"(정처없이) 돌아다니다, 헤매다"
1383,compassion,동정
1384,preoccupation,"몰두, 집착"
1385,paste,풀로 붙이다 풀
1386,provoke,"선동하다, 자극하다"
1387,wicked,"사악한, 심술궂은"
1388,sprain,발목을 삐다
1389,propaganda,선전
1390,consistent,일관된
1391,disrupt,붕과시키다
1392,solitary,"혼자의, 고립된"
1393,bury,(땅에)묻다
1394,rust,"녹 녹이 슬다, 부식하다"
1395,discuss,토론하다
1396,referee,심판
1397,sector,"분야, 지역"
1398,boost,밀어올리다 상승
1399,gymnastics,체조
1400,gross,총합의 총합
1401,last,"마지막, 지난"
1402,tariff,"관세, 운임표"
1403,beloved,"총애받는, 사랑하는"
1404,lyric,가사
1405,yeast,"이스트, 효모"
1406,skyscraper,고층건물
1407,inquire,묻다
1408,spade,"삽, 스페이드"
1409,vacuum,"진공, 공백"
1410,migrate,"이주하다, 이동하다"
1411,spectacle,"구경거리, 장관"
1412,surplus,"여분, 나머지 나머지의"
1413,simulate,"흉내내다, ~의 모의 실험을 하다"
1414,integration,통합
1415,hypothesis,"가설, 가정"
1416,affirm,단언하다
1417,fortress,요새
1418,reed,갈대
1419,cue,"신호, 단서 신호를 주다"
1420,mole,"반점, 두더지"
1421,divide,나누다
1422,inborn,타고난
1423,overlap,"겹치다, 중복되다"
1424,fatique,피곤
1425,clone,"복제, 복제품 복제하다"
1426,peel,껍질을 벗기다
1427,ease,"쉬움, 편안함 편하게 하다, 완화하다"
1428,overcome,극복하다
1429,fund,자금
1430,bias,"편견, 선입견"
1431,vaccine,백신
1432,tread,밟다 밟기
1433,vomit,구토하다 구토
1434,prophecy,예언
1435,correspond,"일치하다, 해당하다, 편지를 주고받다"
1436,cling,"꼭 붙잡다, 달라붙다"
1437,mutation,"돌연변이, 변형"
1438,obscure,"모호한, 잘 알려지지 않은 모호하게 하다"
1439,tyrant,폭군
1440,odd,"이상한, 홀수의"
1441,intriguing,아주 흥미로운
1442,restrain,"억제하다, 제지하다"
1443,bundle,묶음
1444,enclose,"동봉하다, 둘러싸다"
1445,insert,"삽입하다, 덧붙이다"
1446,keen,"예민한, ~을열망하는"
1447,constrict,수축시키다
1448,aid,"도움, 지원"
1449,reputation,명성
1450,measurement,측정
1451,originate,유래하다
1452,flour,밀가루
1453,manipulate,"조작하다, 잘 다루다"
1454,experiment,실험 실험하다
1455,patriot,애국자
1456,interchange,교환하다
1457,intuitive,"직감에 의한, 직관력 있는"
1458,garment,의류
1459,spontaneous,"자발적인, 즉흥적인"
1460,vertical,"수직의, 세로의 수직선"
1461,testify,"증언하다, 증명하다"
1462,mentor,조언자
1463,vivid,"생생한, 선명한"
1464,pasture,초원
1465,crust,"(빵, 파이의)껍질, 딱딱한 표면"
1466,comprehend,"이해하다, 파악하다"
1467,plunge,"뛰어들다, 급락하다"
1468,nasty,"더러운, 비열한"
1469,appreciate,"진가를 알아보다, 고맙게 여기다, 감상하다"
1470,emigrate,이민을 가다
1471,deed,"행동, 공적"
1472,skinny,"깡마른, 옷이 몸에 딱 붙는"
1473,grill,"그릴, 석쇠 그릴에 굽다"
1474,canal,"운하, 수로"
1475,curse,저주
1476,adverse,"불리한, 반대의"
1477,censorship,검열관
1478,forehead,이마
1479,appetite,"식욕, 욕망"
1480,flaw,"결함, 결점"
1481,outgoing,"외향적인, 사교적인"
1482,verbal,"말의, 구두의"
1483,liberate,해방시키다
1484,segregation,"인종 차별, 차별정책, 분리"
1485,advance,"전진하다, 진보하다 발전, 전진, 진보"
1486,contemplate,"~을 숙고하다, 심사숙고하다, 고려하다, 응시하다"
1487,underlying,"기초를 이루는, 근본적인, 밑에 있는"
1488,academic,"학문적인, 학구적인"
1489,stem,"줄기 생기다, 일어나다"
1490,irrigation,관개
1491,consecutive,"연이은, 연속적인"
1492,superficial,"표면상의, 피상적인"
1493,refuge,"피난처, 도피처, 보호구역"
1494,swear,"맹세하다, 욕을 하다"
1495,allergy,알레르기
1496,norm,"표준, 규범"
1497,endeavor,"노력하다, 시도하다 노력, 시도"
1498,erect,똑바로 선 세우다
1499,feminine,"여성의, 여성스러운"
1500,drowsy,졸리는
1501,inspect,"점검하다, 시찰하다"
1502,carriage,"객차, 마차, 운반"
1503,primitive,원시의
1504,compress,"압축하다, 압박하다"
1505,govern,"통치하다, 좌우하다"
1506,cemetery,공동묘지
1507,shatter,산산이 부서지다
1508,exaggerate,과장하다
1509,random,무작위의
1510,feast,"잔치, 축제 즐겁게 하다"
1511,commemorate,기념하다
1512,steep,"가파른, 비탈진 몰두시키다, (액체에) 담그다"
1513,multitask,다중작업을 하다
1514,toxic,"유독한, 유독성의"
1515,stare,응시하다
1516,chronic,만성적인
1517,designate,"지명하다, 지정하다"
1518,dramatic,"극적인, 급격한, 감격적인"
1519,intense,"강렬한, 극심한, 치열한"
1520,propaganda,"선전 활동, 과장된 선전"
1521,numerous,"다수의, 많은"
1522,shiver,몸을 떨다떨림
1523,retarded,(정서?지능?학력) 발달이 뒤진
1524,ongoing,진행 중인진행
1525,mention,언급하다 언급
1526,executive,"임원 행정의, 관리의"
1527,chaos,"혼돈, 혼란"
1528,microscope,현미경
1529,belonging,"소유물, 부속물"
1530,vulnerable,"상처받기 쉬운, 취약한"
1531,implication,"암시, 영향"
1532,appetite,"식욕, 욕망"
1533,authentic,"진정한, 진짜의"
1534,compel,"강요하다, ~ 하게 만들다"
1535,transition,"변화, 전환"
1536,index,"(책 등의) 색인, 지표"
1537,incline,"~쪽으로 기울다, 경사지다, 내키게 하다"
1538,attain,"이루다, 달성하다"
1539,innate,타고난
1540,ingenuity,"기발한 재주, 독창성"
1541,record,"기록, 증언 기록하다, 녹음하다"
1542,bias,"편견, 선입견"
1543,seize,"붙잡다, 파악하다"
1544,screw,나사나사로 고정하다
1545,savage,"야만적인, 잔인한 무참히 공격하다야만인"
1546,province,"지역, 지방"
1547,coordinate,"조직하다, 조정하다 동등한"
1548,deficient,"부족한, 불완전한"
1549,privilege,특권 특권을 주다
1550,preview,"시사회, 시연, 미리보기"
1551,equivalent,"동등한, ~에 상당하는 동등한 것"
1552,loom,어렴풋이 나타나다 베틀
1553,purple,자주색의
1554,outlaw,"범법자, 도망자금지하다, 법적으로 무효화하다"
1555,squeeze,(즙 등을) 짜내다
1556,breakthrough,"돌파구, 비약적 발전"
1557,consent,"동의하다, 허락하다 동의, 허락"
1558,orphan,고아
1559,negotiate,협상하다
1560,nuisance,"골칫거리, 방해, 귀찮은 사람"
1561,recipe,요리법
1562,deceive,"속이다, 기만하다"
1563,sweep,"쓸다, 휩쓸다"
1564,profile,"옆모습, 윤곽, 인물 소개"
1565,enterprise,"기업, 사업"
1566,successive,연속적인
1567,paradox,"역설, 모순되는 말"
1568,surpass,능가하다
1569,correlation,"상관 관계, 연관성"
1570,magnitude,"중대성, 거대함"
1571,aesthetic,"미의, 미학의"
1572,earnest,"성실한, 진심어린"
1573,tremble,"떨다, 흔들리다"
1574,slaughter,"도살하다, 학살하다"
1575,surrender,"항복하다, 양도하다 항복, 양도"
1576,philosophy,"철학, 인생관"
1577,deplete,고갈시키다
1578,admire,존경하다
1579,deform,"불구로 만들다, <물리> 변형시키다"
1580,thrill,"오싹하다 오싹함, 떨림"
1581,afford,~할 여유가 있다
1582,blunt,"무뚝뚝한, 직설적인"
1583,sprint,전력 질주하다
1584,aid,"도움, 지원"
1585,tense,긴장한 (문법) 시제긴장시키다
1586,amplify,"증폭시키다, 확대하다"
1587,timber,목재
1588,collaborate,협력하다
1589,stance,"태도, 자세"
1590,blow,"(입으로) 불다, (바람이) 불다"
1591,ballot,투표투표하다
1592,division,"분할, 분열, 나눗셈"
1593,acquaintance,아는 사람
1594,boil,"끓다, 삶다"
1595,contradict,"모순되다, 반박하다, 부정하다"
1596,burst,"터지다, 갑자기 나타나다 파열, 폭발"
1597,cast,"던지다, 배역을 정하다, (빛을) 발하다 출연자, 깁스"
1598,falsify,잘못을 입증하다
1599,psychic,"초자연적인, 마음의"
1600,paddle,노 노를 저어 나아가다
1601,steer,조종하다
